#Telkomsel
telkomsel.com 43.255.199.21
devkit1.telkomsel.com 62.209.44.76
devkit2.telkomsel.com 62.209.44.77
devkit2-connect.telkomsel.com 62.209.44.136
devkit3.telkomsel.com 62.209.44.78
devkit3-connect.telkomsel.com 62.209.44.137
devkit4.telkomsel.com 62.209.44.79
digihub.telkomsel.com 43.255.196.12
digiport.telkomsel.com 43.255.196.241
digipos.telkomsel.com 108.137.86.161
digipos-nft.telkomsel.com 43.218.169.17
digipos-outpost.telkomsel.com 108.136.188.164
digipos-prod.telkomsel.com 108.136.128.85
s3.digipos-prod.telkomsel.com 108.138.106.89
api.digitalcore.telkomsel.com 43.255.196.246
api-preprod.digitalcore.telkomsel.com 202.3.208.140
distributor.telkomsel.com 103.239.188.37
dsc.telkomsel.com 43.255.196.145
eci.telkomsel.com 202.3.208.212
elangnusa.telkomsel.com 202.3.208.63
enterprise.telkomsel.com 43.255.196.192
api.enterprise.telkomsel.com 43.255.196.192
www.enterprise.telkomsel.com 202.3.208.148
mta.enterprisesolution.telkomsel.com 128.245.244.23
eoffice-automation.telkomsel.com 118.97.213.167
files-eni.telkomsel.com 202.3.208.163
flashretail.telkomsel.com 202.3.219.81
gateway-eni.telkomsel.com 202.3.208.163
grapari.telkomsel.com 43.255.196.150
hera.telkomsel.com 202.3.210.243
id.telkomsel.com 43.255.196.39
igi.telkomsel.com 202.3.208.31
incarwifi.telkomsel.com 202.3.208.236
insightapi.telkomsel.com 43.255.196.143
internetbaik.telkomsel.com 202.3.218.139
internettepat.telkomsel.com 202.3.218.139
iotsphere.telkomsel.com 202.3.208.120
speedtest.jakarta.telkomsel.com 114.124.192.129
malware.jelajah-aman.telkomsel.com 114.124.192.34
joinpoin.telkomsel.com 202.3.208.40
speedtest.kalimantan.telkomsel.com 114.122.192.130
kartuas.telkomsel.com 72.47.228.100
kupon.telkomsel.com 202.3.218.135
lba.telkomsel.com 202.3.218.134
m.telkomsel.com 43.255.196.36
m2mlocation.telkomsel.com 202.3.208.46
m2mlocprov.telkomsel.com 202.3.208.47
manage-tdwidmst.telkomsel.com 202.3.208.108
speedtest.medan.telkomsel.com 114.122.0.65
mnv.telkomsel.com 202.3.208.248
mobileid.telkomsel.com 202.3.220.32
moodah.telkomsel.com 43.255.196.161
mqa.telkomsel.com 202.3.208.50
mscore.telkomsel.com 114.124.193.74
msight.telkomsel.com 43.255.196.81
my.telkomsel.com 108.136.121.177
myads.telkomsel.com 202.3.208.192
api.myads.telkomsel.com 202.3.208.192
dsp.myads.telkomsel.com 202.3.208.192
staging-dsp.myads.telkomsel.com 202.3.208.191
myenterprise.telkomsel.com 202.3.208.208
nonprod.myenterprise.telkomsel.com 202.3.208.208
office.myenterprise.telkomsel.com 202.3.208.208
staging.myenterprise.telkomsel.com 202.3.208.208
narumi.telkomsel.com 43.255.196.192
naura.telkomsel.com 43.255.196.198
ncloud.telkomsel.com 114.124.193.77
ncnd.telkomsel.com 43.255.196.194
nea.telkomsel.com 114.124.193.76
nea1.telkomsel.com 43.255.196.55
nperf.telkomsel.com 43.255.196.154
ns1.telkomsel.com 202.3.210.223
ns2.telkomsel.com 43.255.196.211
ns3.telkomsel.com 202.3.210.223
ns4.telkomsel.com 43.255.196.211
nscorp-brn-exview.telkomsel.com 202.3.218.207
nscorp-tbs-exview.telkomsel.com 202.3.210.207
nsp.telkomsel.com 36.95.52.51
media.nsp.telkomsel.com 202.3.208.84
offdeck.telkomsel.com 43.255.196.235
olivia.telkomsel.com 202.3.208.187
speedtest.palembang.telkomsel.com 114.125.224.130
speedtest.pekanbaru.telkomsel.com 114.125.0.62
poinapi.telkomsel.com 202.3.208.20
pre-api-eni.telkomsel.com 202.3.208.218
pre-dashboard-iaas-eni.telkomsel.com 202.3.208.218
pre-eni.telkomsel.com 202.3.208.218
pre-files-eni.telkomsel.com 202.3.208.218
pre-gateway-eni.telkomsel.com 202.3.208.218
pre-studio-eni.telkomsel.com 202.3.208.218
preprod-wec.telkomsel.com 43.218.225.95
assets.preprod-wec.telkomsel.com 16.78.47.92
nft.preprod-wec.telkomsel.com 43.218.1.255
preprodweb-b2bunified.telkomsel.com 18.244.214.24
prod3.telkomsel.com 62.209.44.70
prod3-connect.telkomsel.com 62.209.44.133
prod4.telkomsel.com 62.209.44.71
prod4-connect.telkomsel.com 62.209.44.134
recruitment.telkomsel.com 202.3.208.68
roli.telkomsel.com 43.218.55.9
roli-dev.telkomsel.com 202.3.208.112
roli-preproduction.telkomsel.com 108.137.177.165
verona.sap.telkomsel.com 202.3.210.50
sbc-aces.telkomsel.com 114.124.161.81
sbc1-sby-cloudx.telkomsel.com 114.125.82.1
sbc1-tbs-cloudx.telkomsel.com 114.124.161.81
sbc2-sby-cloudx.telkomsel.com 114.125.82.2
sbc2-tbs-cloudx.telkomsel.com 114.124.162.2
sbc3-sby-cloudx.telkomsel.com 114.125.82.3
sbc3-tbs-cloudx.telkomsel.com 114.124.162.3
siad.telkomsel.com 202.3.208.180
smooa.telkomsel.com 43.255.196.161
smtpbrn09tsel.telkomsel.com 114.124.216.1
smtpbrn09tsel10.telkomsel.com 114.124.193.134
smtpbrn09tsel13.telkomsel.com 114.124.217.1
smtpbrn09tsel14.telkomsel.com 114.124.217.2
smtpbrn09tsel16.telkomsel.com 114.124.217.4
smtpbrn09tsel17.telkomsel.com 114.124.217.5
smtpbrn09tsel2.telkomsel.com 114.124.216.2
smtpbrn09tsel21.telkomsel.com 114.124.193.132
smtpbrn09tsel22.telkomsel.com 114.124.193.133
smtpbrn09tsel23.telkomsel.com 114.124.217.7
smtpbrn09tsel3.telkomsel.com 114.124.216.3
smtpbrn09tsel4.telkomsel.com 114.124.216.4
smtpbrn09tsel5.telkomsel.com 114.124.216.5
smtpbrn09tsel6.telkomsel.com 114.124.216.6
smtpbrn09tsel7.telkomsel.com 114.124.193.129
smtpbrn09tsel9.telkomsel.com 114.124.193.131
smtpgyg01tsel1.telkomsel.com 114.125.81.2
smtpgyg01tsel10.telkomsel.com 114.125.81.11
smtpgyg01tsel2.telkomsel.com 114.125.81.3
smtpgyg01tsel3.telkomsel.com 114.125.81.4
smtpgyg01tsel4.telkomsel.com 114.125.81.5
smtpgyg01tsel7.telkomsel.com 114.125.81.8
smtpgyg01tsel8.telkomsel.com 114.125.81.9
smtpkng01tsel.telkomsel.com 114.125.49.1
smtpkng01tsel10.telkomsel.com 114.125.49.14
smtpkng01tsel13.telkomsel.com 114.125.49.17
smtpkng01tsel16.telkomsel.com 114.125.49.20
smtpkng01tsel17.telkomsel.com 114.125.49.21
smtpkng01tsel18.telkomsel.com 114.125.49.22
smtpkng01tsel2.telkomsel.com 114.125.49.2
smtpkng01tsel4.telkomsel.com 114.125.49.4
smtpkng01tsel5.telkomsel.com 114.125.49.5
smtpkng01tsel6.telkomsel.com 114.125.49.6
smtpkng01tsel7.telkomsel.com 114.125.49.11
smtpkng01tsel9.telkomsel.com 114.125.49.13
smtpmpy01tsel12.telkomsel.com 114.125.17.16
smtpmpy01tsel16.telkomsel.com 114.125.17.20
smtpmpy01tsel17.telkomsel.com 114.125.17.21
smtpmpy01tsel18.telkomsel.com 114.125.17.22
smtpmpy01tsel2.telkomsel.com 114.125.17.2
smtpmpy01tsel3.telkomsel.com 114.125.17.3
smtpmpy01tsel4.telkomsel.com 114.125.17.4
smtpmpy01tsel5.telkomsel.com 114.125.17.5
smtpmpy01tsel6.telkomsel.com 114.125.17.6
smtpmpy01tsel9.telkomsel.com 114.125.17.13
smtpsud01tsel10.telkomsel.com 114.125.210.42
smtpsud01tsel12.telkomsel.com 114.125.210.44
smtpsud01tsel13.telkomsel.com 114.125.210.45
smtpsud01tsel14.telkomsel.com 114.125.210.46
smtpsud01tsel2.telkomsel.com 114.125.210.34
smtpsud01tsel3.telkomsel.com 114.125.210.35
smtpsud01tsel6.telkomsel.com 114.125.210.38
smtpsud01tsel7.telkomsel.com 114.125.210.39
smtpsud01tsel8.telkomsel.com 114.125.210.40
smtpsud01tsel9.telkomsel.com 114.125.210.41
smtptbs06tsel10.telkomsel.com 114.124.161.98
smtptbs06tsel11.telkomsel.com 114.124.161.99
smtptbs06tsel12.telkomsel.com 114.124.161.100
smtptbs06tsel14.telkomsel.com 114.124.161.102
smtptbs06tsel15.telkomsel.com 114.124.161.103
smtptbs06tsel16.telkomsel.com 114.124.161.104
smtptbs06tsel19.telkomsel.com 114.124.163.3
smtptbs06tsel2.telkomsel.com 114.124.188.2
smtptbs06tsel20.telkomsel.com 114.124.163.4
smtptbs06tsel22.telkomsel.com 114.124.163.6
smtptbs06tsel23.telkomsel.com 114.124.163.7
smtptbs06tsel24.telkomsel.com 114.124.163.8
smtptbs06tsel25.telkomsel.com 114.124.188.9
smtptbs06tsel26.telkomsel.com 114.124.188.10
smtptbs06tsel28.telkomsel.com 114.124.161.106
smtptbs06tsel29.telkomsel.com 114.124.163.9
smtptbs06tsel4.telkomsel.com 114.124.188.4
smtptbs06tsel5.telkomsel.com 114.124.188.5
smtptbs06tsel6.telkomsel.com 114.124.188.6
smtptbs06tsel8.telkomsel.com 114.124.188.8
smtptbs06tsel9.telkomsel.com 114.124.161.97
smtpupd01tsel.telkomsel.com 114.125.161.97
smtpupd01tsel10.telkomsel.com 114.125.161.106
smtpupd01tsel11.telkomsel.com 114.125.161.107
smtpupd01tsel13.telkomsel.com 114.125.161.109
smtpupd01tsel15.telkomsel.com 114.125.161.111
smtpupd01tsel2.telkomsel.com 114.125.161.98
smtpupd01tsel5.telkomsel.com 114.125.161.101
smtpupd01tsel8.telkomsel.com 114.125.161.104
smtpupd01tsel9.telkomsel.com 114.125.161.105
speedtest1.telkomsel.com 114.120.192.66
studio-eni.telkomsel.com 202.3.208.163
tbike.telkomsel.com 202.3.208.27
tbiketest.telkomsel.com 43.255.196.83
tcash.telkomsel.com 43.255.196.51
tcashstatic.telkomsel.com 202.3.208.35
tcashwv.telkomsel.com 202.3.208.37
tcm.telkomsel.com 202.3.208.100
tdw.telkomsel.com 43.218.230.222
tdw-prod.telkomsel.com 108.136.67.193
tdwcnt.telkomsel.com 202.3.208.29
tdwcontent.telkomsel.com 18.173.121.82
tdwhaqa.telkomsel.com 108.136.85.101
awscntpre.tdwhaqa.telkomsel.com 108.137.27.113
awswebpre.tdwhaqa.telkomsel.com 108.137.48.209
tdwidm.telkomsel.com 202.3.208.108
tdwpreweb.telkomsel.com 108.137.138.45
tdwqa.telkomsel.com 43.255.199.19
tdwst.telkomsel.com 202.3.208.221
tdwstcnt.telkomsel.com 202.3.208.29
tdwstcontent.telkomsel.com 108.138.128.105
contentapi.tdwstcontent.telkomsel.com 18.239.199.25
tdwstweb.telkomsel.com 202.3.208.108
tdwva.telkomsel.com 108.137.48.2
tdwva-nft.telkomsel.com 108.137.32.186
tdwva-preprod.telkomsel.com 108.136.119.133
tdwvaqa.telkomsel.com 43.255.196.32
dev1.tecarla.telkomsel.com 43.255.196.41
nx1.tecarla.telkomsel.com 43.255.196.1
teman.telkomsel.com 202.3.208.103
testfly-aces.telkomsel.com 114.124.161.77
trampil.telkomsel.com 202.3.208.126
tryout.telkomsel.com 180.250.80.33
tselprtlstaging.telkomsel.com 43.255.196.224
unified.telkomsel.com 108.138.246.90
vc.telkomsel.com 202.3.211.153
verona.telkomsel.com 202.3.208.115
veronika.telkomsel.com 108.136.202.56
vimboost01.telkomsel.com 182.2.160.35
vmp.telkomsel.com 43.255.196.110
vmp-cms.telkomsel.com 43.255.196.66
vmp-cms-preprod.telkomsel.com 43.255.196.48
vmp-preprod.telkomsel.com 43.255.196.108
vmp2.telkomsel.com 202.3.208.25
wamena.telkomsel.com 202.3.208.54
wap.telkomsel.com 202.3.219.98
wcms-prod.telkomsel.com 108.137.20.92
web2smscorporate.telkomsel.com 202.3.208.145
web2smscorporatebulk.telkomsel.com 202.3.208.130
web2smsdirectconnection.telkomsel.com 202.3.208.142
webhook-eni.telkomsel.com 202.3.208.163
webrtc.telkomsel.com 43.255.196.10
webtask-tdwidmst.telkomsel.com 202.3.208.108
www.telkomsel.com 43.255.196.45
zero.telkomsel.com 43.255.196.194
zoom.telkomsel.com 104.215.148.164
my.telkomsel.com 108.137.162.208

#Telkom
telkom.co.id 180.250.116.128
aci.telkom.co.id 180.250.116.171
outgoing2.antispam.telkom.co.id 118.98.35.19
apec.telkom.co.id 202.134.0.250
api-starclick.telkom.co.id 180.250.119.42
apicareers.telkom.co.id 180.250.116.242
apifactory.telkom.co.id 180.250.116.189
apigw-hcm.telkom.co.id 180.250.119.80
apigwsit.telkom.co.id 180.250.116.27
bapp.telkom.co.id 118.98.35.65
bbgateway.telkom.co.id 118.98.35.47
beta.telkom.co.id 180.250.116.65
blast.telkom.co.id 180.250.119.36
ccf.telkom.co.id 118.98.34.101
ceomessage.telkom.co.id 118.98.35.55
compass2-aci.telkom.co.id 180.250.116.74
corpu.telkom.co.id 139.99.122.48
cportal.telkom.co.id 118.98.34.105
darts.telkom.co.id 180.250.119.63
dealer.telkom.co.id 118.98.34.100
d-hadhir.dekom.telkom.co.id 180.250.116.213
delima.telkom.co.id 118.98.43.15
diarium.telkom.co.id 180.250.116.108
diariumsrv.telkom.co.id 180.250.116.108
digitallearning.telkom.co.id 180.250.116.106
dpr.divre7.telkom.co.id 202.134.2.57
ebssmtp-out.telkom.co.id 203.130.196.95
emas.telkom.co.id 118.98.34.117
emma.telkom.co.id 180.250.116.220
eprodata.telkom.co.id 202.134.2.22
ewedge-1-uc-st.telkom.co.id 180.250.116.27
ewedge-5-uc-st.telkom.co.id 180.250.116.31
ewedge-6-uc-st.telkom.co.id 180.250.116.32
exam.telkom.co.id 180.250.116.59
exam1.telkom.co.id 180.250.116.4
exam4.telkom.co.id 180.250.116.232
exam5.telkom.co.id 180.250.116.233
fabonline.telkom.co.id 180.250.116.45
fleet.telkom.co.id 180.250.116.60
global-tr6.telkom.co.id 118.97.203.58
globalrsa.telkom.co.id 118.97.167.230
gps.telkom.co.id 180.250.116.193
gpstracker-g20.telkom.co.id 180.250.116.125
gptoken.telkom.co.id 180.250.116.231
hras.telkom.co.id 118.98.35.21
i-trust.telkom.co.id 203.130.196.41
in-mta1.telkom.co.id 202.134.0.71
in-mta4.telkom.co.id 203.130.196.199
intra.telkom.co.id 180.250.116.12
jurnal.telkom.co.id 180.250.116.15
kampiun.telkom.co.id 118.98.34.192
logtracker.telkom.co.id 118.98.34.233
masedo2.telkom.co.id 118.97.221.213
matrix.telkom.co.id 180.250.116.228
mbodapp.telkom.co.id 118.98.35.63
meetme.telkom.co.id 180.250.117.44
meetme2.telkom.co.id 180.250.117.45
merahputih.telkom.co.id 118.98.35.3
milis2.telkom.co.id 202.134.0.48
mrescue.telkom.co.id 118.98.35.43
mws.telkom.co.id 118.98.35.116
mybusiness.telkom.co.id 180.250.116.109
mycorps.telkom.co.id 36.91.7.144
mycx.telkom.co.id 180.250.116.78
myih.telkom.co.id 180.250.119.62
console.myih.telkom.co.id 180.250.119.62
thumb.myih.telkom.co.id 180.250.116.238
grafana-openshift-monitoring.apps.mypaas.telkom.co.id 103.107.100.63
mypbx.telkom.co.id 180.250.116.225
mysip.telkom.co.id 180.250.116.227
mywindi.telkom.co.id 180.250.116.226
nde.telkom.co.id 180.250.116.185
newcbhrm.telkom.co.id 180.250.116.230
nossa.telkom.co.id 118.98.34.79
notify.telkom.co.id 180.250.119.86
ns1.telkom.co.id 203.130.196.6
ns2.telkom.co.id 202.134.2.5
onedigit.telkom.co.id 180.250.116.239
origin-konten.telkom.co.id 118.98.34.242
osase.telkom.co.id 118.98.35.149
oss-incident.telkom.co.id 180.250.119.93
pop3.telkom.co.id 118.98.34.125
portal.telkom.co.id 180.250.116.177
productcatalog.telkom.co.id 180.250.116.28
reseller.telkom.co.id 180.250.119.82
rm247.telkom.co.id 118.98.35.148
rpad.telkom.co.id 180.250.117.44
rpad2.telkom.co.id 180.250.117.45
satria.telkom.co.id 180.250.116.142
scc.telkom.co.id 180.250.116.229
sdl.telkom.co.id 180.250.116.129
secureaccess.telkom.co.id 180.250.116.133
securemailgwjt1.telkom.co.id 180.250.119.27
securemailgwjt10.telkom.co.id 180.250.119.34
securemailgwjt11.telkom.co.id 180.250.119.45
securemailgwjt12.telkom.co.id 180.250.119.47
securemailgwjt13.telkom.co.id 180.250.119.78
securemailgwjt14.telkom.co.id 180.250.119.79
securemailgwjt15.telkom.co.id 180.250.119.88
securemailgwjt2.telkom.co.id 180.250.119.28
securemailgwjt3.telkom.co.id 118.98.34.236
securemailgwjt4.telkom.co.id 118.98.34.237
securemailgwjt5.telkom.co.id 180.250.119.29
securemailgwjt6.telkom.co.id 180.250.119.30
securemailgwjt7.telkom.co.id 180.250.119.31
securemailgwjt9.telkom.co.id 180.250.119.33
securemailgwst2.telkom.co.id 180.250.116.179
securemailgwst3.telkom.co.id 180.250.116.223
securemailgwts2.telkom.co.id 180.250.116.179
sharedfile.telkom.co.id 118.98.35.43
siab.telkom.co.id 180.250.116.64
siap.telkom.co.id 118.97.50.11
sm4-antitheft.telkom.co.id 118.98.34.224
smile.telkom.co.id 180.250.116.5
smrsys.telkom.co.id 180.250.116.237
smtp.telkom.co.id 118.98.34.189
smtp-exo.telkom.co.id 180.250.119.89
smtpdev.telkom.co.id 118.98.34.125
medan.speedtest.telkom.co.id 118.98.83.2
ternate.speedtest.telkom.co.id 118.98.83.82
starclick.telkom.co.id 180.250.116.3
superapps.telkom.co.id 180.250.119.67
survey-telkomcare.telkom.co.id 118.97.141.34
telkomcare.telkom.co.id 118.98.34.133
telkomsdwan.telkom.co.id 180.250.116.234
ticares.telkom.co.id 118.98.35.71
vam.telkom.co.id 180.250.119.86
vpninstan.telkom.co.id 118.97.167.227
vpnsn1.telkom.co.id 118.98.34.214
waves.telkom.co.id 36.93.40.170
webmail2.telkom.co.id 202.134.2.30
wpi.telkom.co.id 180.250.116.224
www2.telkom.co.id 180.250.116.65
xp.telkom.co.id 125.160.17.33

#globalxtreme
speedtest.badung.globalxtreme.net 103.225.148.18
speedtest.balikpapan.globalxtreme.net 202.58.205.6
blog.globalxtreme.net 202.58.192.117
bpn.globalxtreme.net 202.58.203.28
cms.globalxtreme.net 202.58.192.77
crm.globalxtreme.net 202.58.196.126
customer.globalxtreme.net 202.58.192.102
speedtest.denpasar.globalxtreme.net 103.225.148.20
dps.globalxtreme.net 202.58.203.28
docker.dps.globalxtreme.net 202.58.192.81
employee.dps.globalxtreme.net 202.58.192.100
ip-106-192-58-202.dps.globalxtreme.net 202.58.192.106
ip-19-192-58-202.dps.globalxtreme.net 202.58.192.19
ip-84-192-58-202.dps.globalxtreme.net 202.58.192.84
kubernetes.dps.globalxtreme.net 202.58.192.83
mail.dps.globalxtreme.net 202.58.203.28
mail2.dps.globalxtreme.net 202.58.203.29
smtp.dps.globalxtreme.net 202.58.203.26
smtp2.dps.globalxtreme.net 202.58.192.27
webmail.dps.globalxtreme.net 202.58.203.28
erp.globalxtreme.net 202.58.192.125
guard.globalxtreme.net 202.58.192.101
speedtest.kuta.globalxtreme.net 103.225.148.19
speedtest.malang.globalxtreme.net 202.58.200.6
mlg.globalxtreme.net 202.58.203.28
unifi.mlg.globalxtreme.net 202.58.200.11
ns1.globalxtreme.net 202.58.203.4
ns2.globalxtreme.net 202.58.203.9
ns3.globalxtreme.net 202.58.203.10
ns7.globalxtreme.net 194.28.85.157
ntt.globalxtreme.net 202.58.203.28
payments.globalxtreme.net 202.58.192.118
speedtest.samarinda.globalxtreme.net 202.58.199.6
speedtest.singapore.globalxtreme.net 103.225.148.3
unifi.smart-wifi.globalxtreme.net 202.58.192.121
smd.globalxtreme.net 202.58.203.28
speedtest.globalxtreme.net 103.225.148.10
theroadahead.globalxtreme.net 202.58.192.90
trustpositif.globalxtreme.net 202.58.203.201
corporate.unifi.globalxtreme.net 202.58.192.124
www.globalxtreme.net 202.58.203.29

#jujung id
absensi.jujung.id 43.225.64.162
www.absensi.jujung.id 43.225.64.162
cctv.jujung.id 43.225.64.93
daftartemp.jujung.id 43.225.64.162
demo.jujung.id 43.225.64.162
livechat.jujung.id 43.225.64.93
member.jujung.id 43.225.64.198
www.member.jujung.id 43.225.64.162
pp.jujung.id 43.225.64.198
recruitment.jujung.id 43.225.64.162
recruitmenttrial.jujung.id 43.225.64.162
salesorder.jujung.id 43.225.64.162
webgis.jujung.id 43.225.64.162

#ionnetwork
beta.ionnetwork.co.id 43.225.64.162
www.beta.ionnetwork.co.id 43.225.64.162
blog.ionnetwork.co.id 43.225.64.162
www.ionbroadband.id.ionnetwork.co.id 43.225.64.162
ioncloud.id.ionnetwork.co.id 43.225.64.162
www.ioncloudhosting.id.ionnetwork.co.id 43.225.64.162
www.ionenterprise.id.ionnetwork.co.id 43.225.64.162
ionpartnership.id.ionnetwork.co.id 43.225.64.162
www.ionpartnership.id.ionnetwork.co.id 43.225.64.162
ionrecruitment.ionnetwork.co.id 43.225.64.162
www.ionrecruitment.ionnetwork.co.id 43.225.64.162
www.jakwifi.ionnetwork.co.id 43.225.64.162
mail.ionnetwork.co.id 43.225.64.59
www.recruitmentfile.ionnetwork.co.id 43.225.64.162
sap.ionnetwork.co.id 43.225.64.162
www.sap.ionnetwork.co.id 43.225.64.162
space.ionnetwork.co.id 43.225.64.236
test.ionnetwork.co.id 43.225.64.162
www.test.ionnetwork.co.id 43.225.64.162
